id,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
ID12101,0.61,0.22,0.33,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
ID12102,0.45,0.43,1.00,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
ID12103,0.67,0.20,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12104,0.10,0.26,1.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
ID12105,0.80,0.78,0.00,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ID12106,0.80,0.57,0.67,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12107,0.08,0.07,0.00,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12108,0.82,0.34,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12109,0.39,0.35,0.67,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
ID12110,0.73,0.33,0.67,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12111,0.98,0.94,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12112,0.69,0.37,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12113,0.53,0.18,0.33,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
ID12114,0.98,0.86,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ID12115,0.37,0.25,0.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12116,0.41,0.30,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12117,0.39,0.22,0.67,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
ID12118,0.57,0.62,0.00,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
ID12119,0.90,0.38,0.00,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
ID12120,0.27,0.30,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12121,0.88,0.91,0.67,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
ID12122,0.65,0.20,0.67,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
ID12123,0.73,0.58,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12124,0.18,0.18,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12125,0.08,0.13,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
ID12126,0.78,0.62,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
ID12127,0.55,0.27,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
ID12128,0.43,0.26,0.33,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
ID12129,0.43,0.42,1.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
ID12130,0.88,0.33,0.33,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12131,0.88,0.31,0.67,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12132,0.04,0.19,0.67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
ID12133,0.55,0.32,0.33,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
ID12134,0.31,0.43,1.00,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
ID12135,0.51,0.56,0.00,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12136,0.18,0.26,0.67,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12137,0.02,0.10,1.00,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12138,0.37,0.14,0.00,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12139,0.51,0.23,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
ID12140,0.98,0.35,0.67,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
ID12141,0.76,0.37,0.00,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
ID12142,0.59,0.38,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
ID12143,1.00,0.87,0.67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
ID12144,0.29,0.39,0.00,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
ID12145,0.04,0.15,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
ID12146,0.94,0.82,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12147,0.65,0.14,0.33,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12148,0.22,0.14,0.67,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
ID12149,0.69,0.59,0.67,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12150,0.59,0.22,0.67,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
ID12151,0.12,0.16,0.67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
ID12152,0.37,0.32,0.00,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
ID12153,0.51,0.19,0.33,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
ID12154,0.61,0.43,0.33,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
ID12155,0.92,0.89,0.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
ID12156,0.69,0.74,1.00,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
ID12157,0.82,0.34,0.00,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12158,0.20,0.31,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
ID12159,0.22,0.17,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
ID12160,0.33,0.35,0.33,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
ID12161,0.49,0.34,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
ID12162,0.96,0.54,0.33,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
ID12163,0.59,0.38,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12164,0.04,0.12,0.00,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
ID12165,0.06,0.00,0.00,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
ID12166,0.49,0.21,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
ID12167,0.02,0.10,0.67,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
ID12168,0.47,0.51,0.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
ID12169,0.24,0.25,0.67,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
ID12170,0.27,0.09,0.67,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
ID12171,0.14,0.16,1.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
ID12172,0.06,0.05,0.00,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
ID12173,0.37,0.46,1.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
ID12174,0.82,0.31,0.67,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
ID12175,0.94,0.82,0.67,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
ID12176,0.84,0.53,0.67,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1
ID12177,0.55,0.38,0.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
